header
Year, Week, SMN, SMT, VCI, TCI, VHI, empty
2000, 1, 0.1, 0.2, 0.3, 0.4, 86.65, 
2000, 2, 0.1, 0.2, 0.3, 0.4, 6.05, 
2000, 3, 0.1, 0.2, 0.3, 0.4, 68.23, 
2000, 4, 0.1, 0.2, 0.3, 0.4, 31.45, 
2000, 5, 0.1, 0.2, 0.3, 0.4, 14.27, 
2000, 6, 0.1, 0.2, 0.3, 0.4, 90.48, 
2000, 7, 0.1, 0.2, 0.3, 0.4, 92.71, 
2000, 8, 0.1, 0.2, 0.3, 0.4, 85.87, 
2000, 9, 0.1, 0.2, 0.3, 0.4, 81.51, 
2000, 10, 0.1, 0.2, 0.3, 0.4, 81.45, 
2000, 11, 0.1, 0.2, 0.3, 0.4, 99.13, 
2000, 12, 0.1, 0.2, 0.3, 0.4, 83.52, 
2000, 13, 0.1, 0.2, 0.3, 0.4, 80.30, 
2000, 14, 0.1, 0.2, 0.3, 0.4, 43.12, 
2000, 15, 0.1, 0.2, 0.3, 0.4, 97.89, 
2000, 16, 0.1, 0.2, 0.3, 0.4, 44.81, 
2000, 17, 0.1, 0.2, 0.3, 0.4, 77.10, 
2000, 18, 0.1, 0.2, 0.3, 0.4, 18.49, 
2000, 19, 0.1, 0.2, 0.3, 0.4, 43.35, 
2000, 20, 0.1, 0.2, 0.3, 0.4, 60.78, 
2000, 21, 0.1, 0.2, 0.3, 0.4, 45.50, 
2000, 22, 0.1, 0.2, 0.3, 0.4, 59.24, 
2000, 23, 0.1, 0.2, 0.3, 0.4, 22.92, 
2000, 24, 0.1, 0.2, 0.3, 0.4, 52.64, 
2000, 25, 0.1, 0.2, 0.3, 0.4, 92.78, 
2000, 26, 0.1, 0.2, 0.3, 0.4, 96.07, 
2000, 27, 0.1, 0.2, 0.3, 0.4, 19.20, 
2000, 28, 0.1, 0.2, 0.3, 0.4, 31.22, 
2000, 29, 0.1, 0.2, 0.3, 0.4, 60.36, 
2000, 30, 0.1, 0.2, 0.3, 0.4, 18.14, 
2000, 31, 0.1, 0.2, 0.3, 0.4, 39.68, 
2000, 32, 0.1, 0.2, 0.3, 0.4, 86.47, 
2000, 33, 0.1, 0.2, 0.3, 0.4, 76.32, 
2000, 34, 0.1, 0.2, 0.3, 0.4, 85.72, 
2000, 35, 0.1, 0.2, 0.3, 0.4, 98.42, 
2000, 36, 0.1, 0.2, 0.3, 0.4, 9.49, 
2000, 37, 0.1, 0.2, 0.3, 0.4, 44.45, 
2000, 38, 0.1, 0.2, 0.3, 0.4, 92.35, 
2000, 39, 0.1, 0.2, 0.3, 0.4, 29.12, 
2000, 40, 0.1, 0.2, 0.3, 0.4, 41.57, 
2000, 41, 0.1, 0.2, 0.3, 0.4, 52.65, 
