header
Year, Week, SMN, SMT, VCI, TCI, VHI, empty
2000, 1, 0.1, 0.2, 0.3, 0.4, 44.20, 
2000, 2, 0.1, 0.2, 0.3, 0.4, 34.83, 
2000, 3, 0.1, 0.2, 0.3, 0.4, 41.79, 
2000, 4, 0.1, 0.2, 0.3, 0.4, 54.18, 
2000, 5, 0.1, 0.2, 0.3, 0.4, 94.86, 
2000, 6, 0.1, 0.2, 0.3, 0.4, 64.40, 
2000, 7, 0.1, 0.2, 0.3, 0.4, 16.28, 
2000, 8, 0.1, 0.2, 0.3, 0.4, 66.91, 
2000, 9, 0.1, 0.2, 0.3, 0.4, 61.84, 
2000, 10, 0.1, 0.2, 0.3, 0.4, 1.89, 
2000, 11, 0.1, 0.2, 0.3, 0.4, 43.50, 
2000, 12, 0.1, 0.2, 0.3, 0.4, 85.44, 
2000, 13, 0.1, 0.2, 0.3, 0.4, 32.65, 
2000, 14, 0.1, 0.2, 0.3, 0.4, 65.16, 
2000, 15, 0.1, 0.2, 0.3, 0.4, 93.99, 
2000, 16, 0.1, 0.2, 0.3, 0.4, 8.42, 
2000, 17, 0.1, 0.2, 0.3, 0.4, 21.23, 
2000, 18, 0.1, 0.2, 0.3, 0.4, 23.47, 
2000, 19, 0.1, 0.2, 0.3, 0.4, 57.88, 
2000, 20, 0.1, 0.2, 0.3, 0.4, 48.00, 
2000, 21, 0.1, 0.2, 0.3, 0.4, 86.26, 
2000, 22, 0.1, 0.2, 0.3, 0.4, 38.95, 
2000, 23, 0.1, 0.2, 0.3, 0.4, 20.62, 
2000, 24, 0.1, 0.2, 0.3, 0.4, 98.73, 
2000, 25, 0.1, 0.2, 0.3, 0.4, 52.66, 
2000, 26, 0.1, 0.2, 0.3, 0.4, 20.97, 
2000, 27, 0.1, 0.2, 0.3, 0.4, 26.44, 
2000, 28, 0.1, 0.2, 0.3, 0.4, 60.01, 
2000, 29, 0.1, 0.2, 0.3, 0.4, 94.12, 
2000, 30, 0.1, 0.2, 0.3, 0.4, 65.08, 
2000, 31, 0.1, 0.2, 0.3, 0.4, 23.61, 
2000, 32, 0.1, 0.2, 0.3, 0.4, 0.73, 
2000, 33, 0.1, 0.2, 0.3, 0.4, 54.94, 
2000, 34, 0.1, 0.2, 0.3, 0.4, 21.74, 
2000, 35, 0.1, 0.2, 0.3, 0.4, 47.96, 
2000, 36, 0.1, 0.2, 0.3, 0.4, 81.02, 
2000, 37, 0.1, 0.2, 0.3, 0.4, 79.64, 
2000, 38, 0.1, 0.2, 0.3, 0.4, 3.89, 
2000, 39, 0.1, 0.2, 0.3, 0.4, 64.17, 
2000, 40, 0.1, 0.2, 0.3, 0.4, 10.55, 
2000, 41, 0.1, 0.2, 0.3, 0.4, 70.38, 
2000, 42, 0.1, 0.2, 0.3, 0.4, 81.31, 
2000, 43, 0.1, 0.2, 0.3, 0.4, 29.86, 
2000, 44, 0.1, 0.2, 0.3, 0.4, 82.91, 
2000, 45, 0.1, 0.2, 0.3, 0.4, 51.65, 
2000, 46, 0.1, 0.2, 0.3, 0.4, 89.38, 
2000, 47, 0.1, 0.2, 0.3, 0.4, 34.57, 
2000, 48, 0.1, 0.2, 0.3, 0.4, 43.93, 
2000, 49, 0.1, 0.2, 0.3, 0.4, 32.34, 
2000, 50, 0.1, 0.2, 0.3, 0.4, 34.58, 
2000, 51, 0.1, 0.2, 0.3, 0.4, 74.17, 
2000, 52, 0.1, 0.2, 0.3, 0.4, 32.06, 
2001, 1, 0.1, 0.2, 0.3, 0.4, 69.29, 
2001, 2, 0.1, 0.2, 0.3, 0.4, 54.96, 
2001, 3, 0.1, 0.2, 0.3, 0.4, 0.37, 
2001, 4, 0.1, 0.2, 0.3, 0.4, 1.47, 
2001, 5, 0.1, 0.2, 0.3, 0.4, 29.20, 
2001, 6, 0.1, 0.2, 0.3, 0.4, 77.00, 
